Artist,Title,Album,Genre,File ID
A Thousand Horses,(This Ain‰Ûªt No) Drunk Dial,Southernality,Country,000.wav
Easton Corbin,A Girl Like You,A Girl Like You,Country,001.wav
Delta Rae,A Long And Happy Life,A Long And Happy Life EP,Country,002.wav
Kid Rock,All Summer Long,Rock N Roll Jesus,Country,003.wav
Willie Nelson,Always On My Mind,Always On My Mind,Country,004.wav
Florida Georgia Line,Anything Goes,Anything Goes,Country,005.wav
"Reba McEntire, Lauren Daigle",Back To God,Back To God,Country,006.wav
Kenny Chesney,Bar at the End of the World,Cosmic Hallelujah,Country,007.wav
"Toby Keith, Willie Nelson",Beer For My Horses,Unleashed,Country,008.wav
Charlie Rich,Behind Closed Doors,Behind Closed Doors,Country,009.wav
Little Big Town,Better Man,Better Man,Country,010.wav
Dierks Bentley,Black,Black,Country,011.wav
Keith Urban,Blue Ain't Your Color,Ripcord,Country,012.wav
Sam Hunt,Body Like A Back Road,Body Like A Back Road,Country,013.wav
Old Dominion,Break Up with Him,Old Dominion - EP,Country,014.wav
Chris Stapleton,Broken Halos,Broken Halos,Country,015.wav
Florida Georgia Line,Confession,Anything Goes,Country,016.wav
Luke Bryan,Country Girl (Shake It For Me),Tailgates & Tanlines,Country,017.wav
Brantley Gilbert,Country Must Be Country Wide,Halfway To Heaven (Deluxe),Country,018.wav
Thomas Rhett,Crash And Burn,Crash And Burn,Country,019.wav
"Thomas Rhett, Maren Morris",Craving You,Craving You,Country,020.wav
Tammy Wynette,D-I-V-O-R-C-E,Stand By Your Man: The Very Best Of Tammy Wynette,Country,021.wav
Thomas Rhett,Die A Happy Man,Tangled Up,Country,022.wav
Jon Pardi,Dirt On My Boots,California Sunrise,Country,023.wav
Billy Currington,Do I Make You Wanna,Summer Forever,Country,024.wav
Alison Krauss,Dreaming My Dreams with You - Live,Outlaw: Celebrating the Music of Waylon Jennings (Live),Country,025.wav
Midland,Drinkin' Problem,Midland - EP,Country,026.wav
"Brad Paisley, Mick Jagger",Drive of Shame,Love and War,Country,027.wav
Dierks Bentley,Drunk On A Plane,RISER,Country,028.wav
Chris Stapleton,Either Way,From A Room: Volume 1,Country,029.wav
Carly Pearce,Every Little Thing,Every Little Thing,Country,030.wav
Luke Bryan,Fast,Kill The Lights (Deluxe),Country,031.wav
"Cole Swindell, Dierks Bentley",Flatliner (feat. Dierks Bentley),You Should Be Here,Country,032.wav
Johnny Cash,Folsom Prison Blues - Mono Version,Classic Country,Country,033.wav
Chris Lane,For Her,Girl Problems,Country,034.wav
Randy Travis,"Forever And Ever, Amen",Top 10,Country,035.wav
Jamey Johnson,Freedom to Stay - Live,Outlaw: Celebrating the Music of Waylon Jennings (Live),Country,036.wav
Chase Rice,Gonna Wanna Tonight,Ignite the Night,Country,037.wav
Florida Georgia Line,H.O.L.Y.,Dig Your Roots,Country,038.wav
Little Big Town,Happy People,The Breaker,Country,039.wav
Lee Brice,Hard To Love,Hard 2 Love,Country,040.wav
Jon Pardi,Heartache On The Dance Floor,California Sunrise,Country,041.wav
"Tim McGraw, Taylor Swift, Keith Urban",Highway Don't Care,Two Lanes Of Freedom,Country,042.wav
Zac Brown Band,Homegrown,JEKYLL + HYDE,Country,043.wav
Josh Turner,Hometown Girl,Hometown Girl,Country,044.wav
Bobby Goldsboro,Honey - 1991 - Remaster,Honey - The Best of Bobby Goldsboro,Country,045.wav
Blake Shelton,Honey Bee,Red River Blue (Deluxe),Country,046.wav
The Flying Burrito Brothers,Hot Burrito #1,The Gilded Palace Of Sin & Burritos,Country,047.wav
Tim McGraw,How I'll Always Be,Damn Country Music,Country,048.wav
Billy Joe Shaver,How Many Hearts Must You Break,Billy Joe Shaver,Country,049.wav
Dan + Shay,How Not To,Obsessed,Country,050.wav
Tim McGraw,Humble And Kind,Humble And Kind,Country,051.wav
Luke Combs,Hurricane,This One's for You - EP,Country,052.wav
Lee Brice,I Don't Dance,I Don't Dance (Deluxe Edition),Country,053.wav
Mickey Newbury,I Don't Think Much About Her No More,An American Trilogy,Country,054.wav
Rascal Flatts,I Like The Sound Of That,Rewind,Country,055.wav
Rascal Flatts,I Like The Sound Of That,Rewind,Country,056.wav
Conway Twitty,I See The Want In Your Eyes,Conway Twitty - 25 Number Ones,Country,057.wav
Johnny Cash,I Walk the Line,I Walk the Line (Original Soundtrack Recording),Country,058.wav
Chris Young,I'm Comin' Over,I'm Comin' Over,Country,059.wav
Darius Rucker,If I Told You,If I Told You,Country,060.wav
Alabama,If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band),Alabama Live,Country,061.wav
Brett Young,In Case You Didn't Know,Brett Young EP,Country,062.wav
Brothers Osborne,It Ain't My Fault,Pawn Shop,Country,063.wav
Billy Currington,It Don't Hurt Like It Used To,Summer Forever,Country,064.wav
Keith Urban,"John Cougar, John Deere, John 3:16","John Cougar, John Deere, John 3:16",Country,065.wav
Dolly Parton,Jolene,Classic Country,Country,066.wav
Phil Vassar,Just Another Day In Paradise,Greatest Hits Volume 1,Country,067.wav
"Steve Wariner, Garth Brooks",Katie Wants A Fast One,The Hits Collection: Steve Wariner,Country,068.wav
Sam Hunt,Leave The Night On,Montevallo,Country,069.wav
Canaan Smith,Like You That Way,Like You That Way,Country,070.wav
Canaan Smith,Love You Like That,Bronco,Country,071.wav
Drake White,Makin‰Ûª Me Look Good Again,Spark,Country,072.wav
Kip Moore,More Girls Like You,More Girls Like You,Country,073.wav
Luke Bryan,Move,Kill The Lights,Country,074.wav
Jerry Jeff Walker,Mr. Bojangles,Mr. Bojangles,Country,075.wav
Dylan Scott,My Girl,Dylan Scott,Country,076.wav
Zac Brown Band,My Old Man,My Old Man,Country,077.wav
Jason Aldean,Night Train,Night Train,Country,078.wav
David Nail,Night's On Fire,Fighter,Country,079.wav
Old Dominion,No Such Thing as a Broken Heart,No Such Thing as a Broken Heart,Country,080.wav
Willie Nelson,On the Road Again,Greatest Hits (& Some That Will Be),Country,081.wav
"Merle Haggard, Willie Nelson",Pancho and Lefty,The Essential Merle Haggard: The Epic Years,Country,082.wav
A Thousand Horses,Preachin' To The Choir,Preachin' To The Choir,Country,083.wav
Eric Church,Record Year,Mr. Misunderstood,Country,084.wav
Dierks Bentley,Riser,RISER,Country,085.wav
Lauren Alaina,Road Less Traveled,Crowd Pleasers,Country,086.wav
Eric Church,Round Here Buzz,Mr. Misunderstood,Country,087.wav
Big & Rich,Run Away With You,Gravity,Country,088.wav
Randy Houser,Runnin' Outta Moonlight,How Country Feels,Country,089.wav
Blake Shelton,Sangria,BRINGING BACK THE SUNSHINE,Country,090.wav
Brett Young,Sleep Without You,Brett Young EP,Country,091.wav
Old Dominion,Snapback,Snapback,Country,092.wav
Justin Moore,Somebody Else Will,Kinda Don't Care,Country,093.wav
Dierks Bentley,Somewhere On A Beach,Black,Country,094.wav
Old Dominion,Song for Another Time,Meat and Candy,Country,095.wav
Alabama,Song of the South,Livin' Lovin' Rockin' Rollin': The 25th Anniversary Collection,Country,096.wav
Tim McGraw,Southern Girl,Two Lanes Of Freedom,Country,097.wav
"Tim McGraw, Faith Hill",Speak to a Girl,Speak to a Girl,Country,098.wav
Eric Church,Springsteen,Chief,Country,099.wav
Thomas Rhett,Star Of The Show,Star Of The Show,Country,100.wav
Kris Kristofferson,Sunday Mornin' Comin' Down,Kristofferson,Country,101.wav
Thomas Rhett,T-Shirt,Tangled Up,Country,102.wav
Sam Hunt,Take Your Time,Montevallo,Country,103.wav
"Keith Urban, Carrie Underwood",The Fighter,Ripcord,Country,104.wav
Morgan Wallen,The Way I Talk,The Way I Talk,Country,105.wav
Brantley Gilbert,The Weekend,The Weekend,Country,106.wav
Trent Harmon,There‰Ûªs A Girl,There‰Ûªs A Girl,Country,107.wav
Walker McGuire,Til Tomorrow,Til Tomorrow,Country,108.wav
Brad Paisley,Today,Today,Country,109.wav
Kenny Chesney,Trip Around the Sun,Cosmic Hallelujah,Country,110.wav
Old Crow Medicine Show,Visions of Johanna (Live),50 Years of Blonde on Blonde (Live),Country,111.wav
Darius Rucker,Wagon Wheel,True Believers,Country,112.wav
Keith Whitley,When You Say Nothing at All,Greatest Hits,Country,113.wav
The Carter Family,Wildwood Flower,Wildwood Flower (From the documentary series American Epic),Country,114.wav
Neal McCoy,Wink,No Doubt About It,Country,115.wav
Kelsea Ballerini,Yeah Boy,The First Time,Country,116.wav
Lady Antebellum,You Look Good,You Look Good,Country,117.wav
Rascal Flatts,Yours If You Want It,Yours If You Want It,Country,118.wav
Russell Dickerson,Yours,Yours,Country,119.wav
moderat,a new error,moderat,Electronic,120.wav
Ben Pearce,What Might I Do (Club Mix),www.deepology.org,Electronic,121.wav
S-Type,Billboard,Billboard EP,Electronic,122.wav
Jamie xx,Far Nearer,"Far Nearer / Beat For 7""",Electronic,123.wav
Mount Kimbie,Home Recording,Cold Spring Fault Less Youth,Electronic,124.wav
Julio Bashmore,Ribble To Amazon,Batty Knee Dance EP,Electronic,125.wav
Disclosure,Tenderly,Tenderly/Flow,Electronic,126.wav
Hot Butter,Popcorn,Best Of Moog - Electronic Pop Hits From The 60's & 70's,Electronic,127.wav
moderat,rusty nails,moderat,Electronic,128.wav
Disclosure,Flow,Tenderly/Flow,Electronic,129.wav
Lapalux,Jaw Jackin',Some Other Time,Electronic,130.wav
Hudson Mohawke,Very First Breath (feat. Irfane),Lantern,Electronic,131.wav
TNGHT,Higher Ground,TNGHT EP,Electronic,132.wav
Ta-ku,When I Met You,LATENYC,Electronic,133.wav
Modeselektor,happy birthday,Happy Birthday,Electronic,134.wav
Ta-ku,Hey Justin,RE ìÙ TWERK,Electronic,135.wav
Calvin Harris,Flashback (Goldie Remix),Vacayvitamins.com,Electronic,136.wav
Hudson Mohawke,Scud Books,Lantern,Electronic,137.wav
Nosaj Thing,Try ft Toro y Moi,Home,Electronic,138.wav
Aphex Twin,PAPAT4 (Pineal Mix),Syro,Electronic,139.wav
Modeselektor,black block,Happy Birthday,Electronic,140.wav
Flying Lotus,Camel,Los Angeles,Electronic,141.wav
Nosaj Thing,Aquarium,Views/Octopus EP,Electronic,142.wav
Flume,Warm Thoughts,Flume,Electronic,143.wav
Luke Vibert,Acage,Ridmik,Electronic,144.wav
Adriatique,Space Knights (Original mix),Space Knights WEB,Electronic,145.wav
Aphex Twin,XMAS_EVET10 (Thanaton3 Mix),Syro,Electronic,146.wav
Burial,Archangel,Untrue,Electronic,147.wav
MSTRKRFT,Armand Van Helden - NYC Beat,Remixes,Electronic,148.wav
Ryan Hemsworth,BasedWorld,Thissongissick.com,Electronic,149.wav
FaltyDL,Bells,Hardcourage,Electronic,150.wav
Bicep,Just,Just EP,Electronic,151.wav
Caribou,Can't Do Without You,Our Love,Electronic,152.wav
James Blake,CMYK,CMYK EP,Electronic,153.wav
Com Truise,Open,In Decay,Electronic,154.wav
Daft Punk,One More Time,Discovery,Electronic,155.wav
Deadmau5,Faxing Berlin,At Play,Electronic,156.wav
Ramadanman,Don't Change for Me,Ramadanman EP,Electronic,157.wav
Disclosure,F For You (Onra Remix),Unknown Album,Electronic,158.wav
BenZel,Fallin Love (Cashmere Cat Remix),cvshmerecvt.com,Electronic,159.wav
Fatboy Slim,"Right Here,Right Now",The Best Dance Hits Of 90's-3,Electronic,160.wav
Fatima Yamaha,Half Moon Rising,Fatima Yamaha DONE061,Electronic,161.wav
Flume,Sleepless,Flume: Deluxe Edition,Electronic,162.wav
Flying Lotus,Do The Astral Plane,Cosmogramma,Electronic,163.wav
George FitzGerald,Full Circle (feat. Boxed In),Fading Love,Electronic,164.wav
Hudson Mohawke,FUSE,Butter,Electronic,165.wav
"Roy Davis Jr., Peven Everett",Gabriel (Live Garage Version),Pay Close Attention : XL Recordings,Electronic,166.wav
Lauer,Gammelan,Borndom,Electronic,167.wav
Basenji,Heirloom,Heirloom,Electronic,168.wav
"Grandtheft, Sleepy Tom",Hold On,Quit This City,Electronic,169.wav
HOME,We're Finally Landing,Before The Night,Electronic,170.wav
HOME,Above All,Before The Night,Electronic,171.wav
Joy Orbison,Hyph Mngo,Hyph Mngo,Electronic,172.wav
Mano Le Tough,In My Arms - Original Mix,In My Arms,Electronic,173.wav
Max Graef,Itzehoe,Rivers Of The Red Planet,Electronic,174.wav
Lxury,J.A.W.S.,J.A.W.S,Electronic,175.wav
Disclosure,Jaded,Caracal (Deluxe),Electronic,176.wav
John Talabot,So Will Be Now  feat. Pional ,®Õin,Electronic,177.wav
Julio Bashmore,Au Seve,Unknown Album,Electronic,178.wav
Untitled Gear,Just Better,White Nite,Electronic,179.wav
Karma Kid ,Delight in Delaware (Mastered),Unknown Album,Electronic,180.wav
Les Sins,Grind,Grind / Prelims,Electronic,181.wav
"Tame Impala, Soulwax",Let It Happen - Soulwax Remix,Let It Happen (Soulwax Remix),Electronic,182.wav
Frits Wentink,Ligament,Family Dinner EP,Electronic,183.wav
Nautiluss,Lonely Planet,Ghostly Swim 2,Electronic,184.wav
Luciano,Rise Of Angel (Original Mix),www.minimalistica.org,Electronic,185.wav
Ifan Dafydd,Miranda,http://hedmuk.blogspot.com,Electronic,186.wav
HNNY,Most Really Pretty Girls Have Pretty Ugly Feet,If This Is House I Want My Money Back 3,Electronic,187.wav
David August,Moving Day,Instant Harmony EP,Electronic,188.wav
DJ Koze,Nices WÌ_lkchen (feat. Apparat),Amygdala,Electronic,189.wav
Moon Boots,No One,Unknown Album,Electronic,190.wav
HNNY,Nothing - Original Mix,Nothing,Electronic,191.wav
"Duck Sauce, Hudson Mohawke",NRG - Hudson Mohawke Remix,NRG (Remixes),Electronic,192.wav
Pional,Of My Mind,When Love Hurts,Electronic,193.wav
Claro Intelecto,Peace of Mind (Electrosoul),Peace of Mind,Electronic,194.wav
Cyril Hahn,Perfect_Form_ft._Shy_Girls,Unknown Album,Electronic,195.wav
Kavinsky,ProtoVision,OutRun,Electronic,196.wav
Jacques Greene,Quicksand,On Your Side,Electronic,197.wav
"Grandtheft, Lowell",Quit This City (feat. Lowell),Quit This City,Electronic,198.wav
Justice,Randy (Radio Edit),Randy (Radio Edit),Electronic,199.wav
Ratatat,Seventeen Years,Ratatat,Electronic,200.wav
Ratatat,Wildcat,Classics,Electronic,201.wav
Actress,Redit 124,Hazyville,Electronic,202.wav
Riohv,Redux,Green Room,Electronic,203.wav
Ten Walls,Requiem,Requiem,Electronic,204.wav
"Hudson Mohawke, Jhene Aiko",Resistance,Lantern,Electronic,205.wav
Ryan Hemsworth,Snow in Newark (with Dawn Golden),Alone for the First Time,Electronic,206.wav
Justice,Safe and Sound,Safe and Sound,Electronic,207.wav
Fort Romeau,Secrets & Lies,Secrets & Lies,Electronic,208.wav
Bag Raiders,Shooting Stars,Bag Raiders (Deluxe),Electronic,209.wav
Frits Wentink,Shrewd,Family Dinner EP,Electronic,210.wav
George FitzGerald,Silhouette,Silhouette,Electronic,211.wav
Siriusmo,Discosau,Pearls & Embarrassments: 2000-2010 Disc 2,Electronic,212.wav
Siriusmo,Gummiband ,Pearls & Embarrassments: 2000-2010 Disc 1,Electronic,213.wav
"Cosmo's Midnight, Wild Eyed Boy",Snare,Moments - EP,Electronic,214.wav
"John Talabot, Pional",So Will Be Now... feat. Pional,Fin - Special Edition,Electronic,215.wav
Solomun,Friends,Unknown Album,Electronic,216.wav
Ten Walls,Sparta,Sparta,Electronic,217.wav
Andhim,Super,Super,Electronic,218.wav
Nicolas Jaar,Swim,Nymphs III,Electronic,219.wav
Ross from Friends,Talk To Me You'll Understand,You'll Understand,Electronic,220.wav
Totally Enormous Extinct Dinosaurs,Tapes & Money,Trouble,Electronic,221.wav
Lauer,Tearsh,Tearsh,Electronic,222.wav
Weval,The Battle,The Battle,Electronic,223.wav
Detroit Swindle,The Break Up - Original Mix,Break Up To Make Up,Electronic,224.wav
Tiger & Woods,The Stopper,Scoring Clubs Pt. 1 EP,Electronic,225.wav
Armand Van Helden,U Don't Know Me,2 Future 4 U,Electronic,226.wav
Vektroid,Splash,Neo Cali,Electronic,227.wav
Daft Punk,Voyager,Discovery,Electronic,228.wav
"Cosmo's Midnight, KU€ÎKA, Koa",Walk With Me - KOA Remix,Walk With Me - Remixes,Electronic,229.wav
Lo-Fi-Fnk,Want U,The Last Summer,Electronic,230.wav
"HONNE, Embody",Warm On A Cold Night - Embody Remix,Warm On A Cold Night EP,Electronic,231.wav
San Holo,We Rise,We Rise,Electronic,232.wav
Ben Pearce,What I Might Do - Kilter Remix,What I Might Do (Remixes Volume II),Electronic,233.wav
C.Z. & LiL TExAS,What You Want (Final),What You Want (Single),Electronic,234.wav
Fatima Yamaha,What's a Girl to Do,A Girl Between Two Worlds,Electronic,235.wav
Fatlip,What's Up Fatlip? - Breakbot RMX,RMXXOLOGY,Electronic,236.wav
DJ Boring,Winona,Winona,Electronic,237.wav
Bondax,You're So,You‰Ûªre So,Electronic,238.wav
Weval,You‰Ûªre Mine,You‰Ûªre Mine,Electronic,239.wav
Danny Brown,Kush Coma (Produced By Skywlkr),Kush Coma (Single),Hip Hop/Rap,240.wav
Wu-Tang Clan,Shame On A Nigga,Enter The Wu-Tang,Hip Hop/Rap,241.wav
Kendrick Lamar,DNA.,DAMN.,Hip Hop/Rap,242.wav
Slick Rick,Street Talkin' (feat. OutKast),The Art Of Storytelling,Hip Hop/Rap,243.wav
OutKast,"So Fresh, So Clean (Prod. Organized Noize)",Stankonia,Hip Hop/Rap,244.wav
Kendrick Lamar,ELEMENT.,DAMN.,Hip Hop/Rap,245.wav
Chance The Rapper,Juice,Acid Rap,Hip Hop/Rap,246.wav
Action Bronson,City Boy Blues (Feat. Chauncy Sherod),Mr. Wonderful,Hip Hop/Rap,247.wav
Hodgy Beats,If Heaven is a Ghetto,Untitled EP,Hip Hop/Rap,248.wav
Mobb Deep,Up North Trip,The Infamous,Hip Hop/Rap,249.wav
Kanye West,Waves,The Life of Pablo,Hip Hop/Rap,250.wav
Joey Bada$$,#LongLiveSteelo [Prod. By Kirk Knight],Joey Bada$$ - Summer Knights,Hip Hop/Rap,251.wav
Three 6 Mafia,All Or Nothin,Mystic Stylez [Prophet],Hip Hop/Rap,252.wav
A Tribe Called Quest,Can I Kick It?,?,Hip Hop/Rap,253.wav
A Tribe Called Quest,Find A Way,The Anthology,Hip Hop/Rap,254.wav
A Tribe Called Quest,Oh My God,The Best of A Tribe Called Quest,Hip Hop/Rap,255.wav
ASAP Rocky,Long Live A$AP ,Long.Live.ASAP,Hip Hop/Rap,256.wav
Madvillain,Accordian,Madvillainy,Hip Hop/Rap,257.wav
Ludacris,Act A Fool,2 Fast 2 Furious (Soundtrack),Hip Hop/Rap,258.wav
Action Bronson,Brand New Car,Mr. Wonderful,Hip Hop/Rap,259.wav
Madvillain,All Caps,Madvillainy,Hip Hop/Rap,260.wav
A Tribe Called Quest,Award Tour,Midnight Marauders,Hip Hop/Rap,261.wav
"Nappy Roots, Jazze Pha",Awnaw [All Hooks Up Version],"Watermelon, Chicken & Gritz [U.S. Explicit Version]",Hip Hop/Rap,262.wav
"Migos, Lil Uzi Vert",Bad and Boujee (feat. Lil Uzi Vert),Culture,Hip Hop/Rap,263.wav
Beastie Boys,(You Gotta) Fight For Your Right (To Party),De Complete Top 40 1987,Hip Hop/Rap,264.wav
Beastie Boys,Body Movin',Hello Nasty,Hip Hop/Rap,265.wav
Bryson Tiller,Been That Way,T R A P S O U L,Hip Hop/Rap,266.wav
Run The Jewels,Blockbuster Night Part 1,Run the Jewels 2,Hip Hop/Rap,267.wav
Vince Staples,Blue Suede,Hell Can Wait,Hip Hop/Rap,268.wav
"D.R.A.M., Lil Yachty",Broccoli,Broccoli (feat. Lil Yachty) - Single,Hip Hop/Rap,269.wav
2Pac,California Love,Urban Beats Vol.3,Hip Hop/Rap,270.wav
D.R.A.M.,Cash Machine,Cash Machine - Single,Hip Hop/Rap,271.wav
"Drake,RichHomieQuan,KevinGates,FrenchMontana",Chance The Rapper - Cold Stares,Diamond Cuttz 34,Hip Hop/Rap,272.wav
"2Pac, Talent",Changes,Greatest Hits,Hip Hop/Rap,273.wav
Slick Rick,Children's Story,Best Of,Hip Hop/Rap,274.wav
Danny Brown,Radio Song,XXX,Hip Hop/Rap,275.wav
Danny Brown,Smokin' & Drinkin',Old,Hip Hop/Rap,276.wav
Kid Cudi,Day 'N' Nite (nightmare) - Original,Man On The Moon: The End Of Day,Hip Hop/Rap,277.wav
"Post Malone, Justin Bieber",Deja Vu,Deja Vu,Hip Hop/Rap,278.wav
"Snakehips, Tory Lanez",DÌ_melo,All My Friends - EP,Hip Hop/Rap,279.wav
Bryson Tiller,Don't,T R A P S O U L,Hip Hop/Rap,280.wav
Mac Miller,Donald Trump,Best Day Ever (5th Anniversary Remastered Edition),Hip Hop/Rap,281.wav
J Dilla,E=MC2 feat. Common,The Shining,Hip Hop/Rap,282.wav
"Jay Rock, Kendrick Lamar, SZA",Easy Bake (feat. Kendrick Lamar & SZA),90059,Hip Hop/Rap,283.wav
Jay Electronica,Exhibit A,Exhibit A,Hip Hop/Rap,284.wav
N.W.A.,Express Yourself - Remix;,N.W.A. Greatest Hits (World),Hip Hop/Rap,285.wav
Drake,Fake Love,Fake Love,Hip Hop/Rap,286.wav
Slum Village,Fall In Love,"Fantastic, Vol. 2.10",Hip Hop/Rap,287.wav
J. Cole,False Prophets,False Prophets,Hip Hop/Rap,288.wav
Drake,Feel No Ways,Views,Hip Hop/Rap,289.wav
Slum Village,Get Dis Money,"Fan-Tas-Tic, Vol. 2",Hip Hop/Rap,290.wav
"Ying Yang Twins, Lil Jon & The East Side Boyz",Get Low,Kings Of Crunk,Hip Hop/Rap,291.wav
"Denzel Curry, Twelve'len, Nell",Good Night,Imperial,Hip Hop/Rap,292.wav
Wu-Tang Clan,Gravel Pit,Legend Of The Wu-Tang: Wu-Tang Clan's Greatest Hits,Hip Hop/Rap,293.wav
Madvillain,Great Day,Madvillainy,Hip Hop/Rap,294.wav
Rakim,Guess Who's Back,The 18th Letter / The Book Of Life,Hip Hop/Rap,295.wav
Jay Rock,Gumbo,90059,Hip Hop/Rap,296.wav
ScHoolboy Q,Hell Of A Night,Oxymoron (Deluxe),Hip Hop/Rap,297.wav
Mos Def,Hip Hop,Black On Both Sides,Hip Hop/Rap,298.wav
Black Moon,How Many MC's...,Enta da Stage,Hip Hop/Rap,299.wav
"The Game, 50 Cent",How We Do,The Documentary,Hip Hop/Rap,300.wav
Ice Cube,It Was A Good Day,The Predator,Hip Hop/Rap,301.wav
Rakim,It's Been A Long Time,The 18th Letter / The Book Of Life,Hip Hop/Rap,302.wav
J. Cole ,Wet Dreamz,Forest Hills Drive,Hip Hop/Rap,303.wav
OutKast,Jazzy Belle,ATLiens,Hip Hop/Rap,304.wav
Kanye West,Real Friends,The Life of Pablo,Hip Hop/Rap,305.wav
KMD,Peachfuzz,Mr. Hood,Hip Hop/Rap,306.wav
